mjd	field
60733.04166676906	ECDFS
60738.02777788075	ECDFS
60882.41666678645	ECDFS
60887.41666678703	ECDFS
60893.41666678773	ECDFS
60900.40277789965	ECDFS
60904.319444566776	ECDFS
60910.40277790082	ECDFS
60915.38888901251	ECDFS
60921.37500012432	ECDFS
60928.34722234735	ECDFS
60932.20833345891	ECDFS
60939.36111123752	ECDFS
60945.34722234933	ECDFS
60952.361111239035	ECDFS
60952.361111239035	ECDFS
60959.1388890176	ECDFS
60965.291666796096	ECDFS
60970.27777790779	ECDFS
60976.222222352924	ECDFS
60981.33333346463	ECDFS
60989.05555568775	ECDFS
60995.208333466246	ECDFS
61000.19444457794	ECDFS
61006.194444578636	ECDFS
61011.30555569034	ECDFS
61016.055555690895	ECDFS
61022.138889024936	ECDFS
61027.12500013663	ECDFS
61033.111111248436	ECDFS
61038.22222236014	ECDFS
61039.25000013804	ECDFS
61046.06944458328	ECDFS
61052.069444583976	ECDFS
61059.06944458479	ECDFS
61065.15277791883	ECDFS
61069.069444585955	ECDFS
61076.05555569788	ECDFS
61082.05555569858	ECDFS
61087.04166681027	ECDFS
61093.06944458875	ECDFS
61099.04166681167	ECDFS
61106.02777792359	ECDFS
61237.416666827776	ECDFS
61242.41666682836	ECDFS
61247.41666682894	ECDFS
61254.402777940864	ECDFS
61259.375000163665	ECDFS
61265.402777942145	ECDFS
61270.40277794273	ECDFS
61276.388889054535	ECDFS
61276.388889054535	ECDFS
61283.37500016646	ECDFS
61288.23611127814	ECDFS
61294.34722238996	ECDFS
61300.37500016844	ECDFS
61306.37500016914	ECDFS
61308.37500016937	ECDFS
61315.16666683683	ECDFS
61322.31944461544	ECDFS
61329.2500001718	ECDFS
61336.34722239485	ECDFS
61336.34722239485	ECDFS
61342.08333350663	ECDFS
61348.23611128512	ECDFS
61354.22222239693	ECDFS
61360.20833350874	ECDFS
61366.31944462056	ECDFS
61370.041666843215	ECDFS
61376.16666684393	ECDFS
61382.15277795574	ECDFS
61387.13888906743	ECDFS
61393.23611129036	ECDFS
61393.25000017925	ECDFS
61394.26388906826	ECDFS
61401.097222402386	ECDFS
61408.08333351431	ECDFS
61414.06944462612	ECDFS
61421.18055573806	ECDFS
61423.06944462717	ECDFS
61430.05555573909	ECDFS
61436.05555573979	ECDFS
61443.055555740604	ECDFS
61449.04166685241	ECDFS
61449.04166685241	ECDFS
61454.055555741885	ECDFS
61461.04166685381	ECDFS
61468.02777796573	ECDFS
61474.02777796643	ECDFS
61595.41666686945	ECDFS
61601.41666687015	ECDFS
61608.402777982075	ECDFS
61614.38888909388	ECDFS
61620.41666687236	ECDFS
61625.416666872945	ECDFS
61631.40277798475	ECDFS
61638.38888909668	ECDFS
61643.263889097245	ECDFS
61649.37500020907	ECDFS
61654.36111132076	ECDFS
61660.38888909924	ECDFS
61667.37500021116	ECDFS
61671.18055576716	ECDFS
61677.347222434546	ECDFS
61684.31944465758	ECDFS
61690.36111132495	ECDFS
61697.097222436845	ECDFS
61698.11111132585	ECDFS
61704.222222437675	ECDFS
61709.25000021604	ECDFS
61720.33333355066	ECDFS
61725.04166688454	ECDFS
61731.19444466304	ECDFS
61737.13888910817	ECDFS
61742.16666688654	ECDFS
61748.26388910947	ECDFS
61748.27777799836	ECDFS
61755.055555776926	ECDFS
61762.1111113333	ECDFS
61769.09722244523	ECDFS
61776.194444668276	ECDFS
61776.208333557166	ECDFS
61778.25000022407	ECDFS
61785.06944466931	ECDFS
61791.05555578112	ECDFS
61797.055555781815	ECDFS
61803.125000226966	ECDFS
61808.055555783096	ECDFS
61815.04166689502	ECDFS
61821.04166689572	ECDFS
61826.0416668963	ECDFS
61832.02777800811	ECDFS
61975.41666691369	ECDFS
61980.41666691427	ECDFS
61985.416666914854	ECDFS
61985.416666914854	ECDFS
61992.40277802678	ECDFS
61997.38888913847	ECDFS
62003.40277802806	ECDFS
62008.40277802864	ECDFS
62014.37500025156	ECDFS
62021.36111136348	ECDFS
62026.20833358627	ECDFS
62032.33333358698	ECDFS
62038.31944469879	ECDFS
62044.36111136616	ECDFS
62044.37500025505	ECDFS
62046.361111366394	ECDFS
62053.13888914496	ECDFS
62060.29166692357	ECDFS
62067.236111368824	ECDFS
62074.34722248076	ECDFS
62081.06944470377	ECDFS
62087.18055581559	ECDFS
62092.16666692728	ECDFS
62098.19444470576	ECDFS
62103.30555581747	ECDFS
62110.05555581825	ECDFS
62117.13888915241	ECDFS
62124.125000264336	ECDFS
62131.236111376274	ECDFS
62133.0972224876	ECDFS
62140.069444710636	ECDFS
62146.069444711335	ECDFS
62152.06944471203	ECDFS
62158.152778046075	ECDFS
62163.069444713314	ECDFS
62170.05555582524	ECDFS
62175.05555582582	ECDFS
62181.04166693763	ECDFS
62186.06944471599	ECDFS
62192.04166693891	ECDFS
62199.02777805083	ECDFS
62330.41666695502	ECDFS
62335.4166669556	ECDFS
62340.41666695618	ECDFS
62347.402778068106	ECDFS
62352.36111140202	ECDFS
62358.40277806939	ECDFS
62363.40277806997	ECDFS
62369.40277807067	ECDFS
62369.40277807067	ECDFS
62376.38888918259	ECDFS
62381.25000029427	ECDFS
62387.36111140609	ECDFS
62392.34722251778	ECDFS
62398.37500029626	ECDFS
62398.37500029626	ECDFS
62405.36111140819	ECDFS
62408.16666696407	ECDFS
62415.27777807601	ECDFS
62421.30555585449	ECDFS
62428.347222521974	ECDFS
62428.347222521974	ECDFS
62435.08333363387	ECDFS
62436.097222522876	ECDFS
62453.22222252487	ECDFS
62458.333333636576	ECDFS
62458.333333636576	ECDFS
62464.041666970574	ECDFS
62470.138889193506	ECDFS
62475.1250003052	ECDFS
62481.16666697257	ECDFS
62486.26388919538	ECDFS
62486.26388919538	ECDFS
62487.29166697328	ECDFS
62494.06944475185	ECDFS
62500.09722253033	ECDFS
62507.06944475336	ECDFS
62513.18055586518	ECDFS
62513.18055586518	ECDFS
62517.069444754525	ECDFS
62524.05555586645	ECDFS
62529.05555586703	ECDFS
62535.05555586773	ECDFS
62540.111111423874	ECDFS
62547.05555586913	ECDFS
62554.04166698105	ECDFS
62561.027778092975	ECDFS
62568.02777809379	ECDFS
62712.41666699949	ECDFS
62718.41666700019	ECDFS
62724.402778111995	ECDFS
62731.38888922392	ECDFS
62735.33333366882	ECDFS
62741.38888922508	ECDFS
62746.375000336775	ECDFS
62752.36111144858	ECDFS
62752.36111144858	ECDFS
62759.33333367162	ECDFS
62763.19444478318	ECDFS
62769.34722256167	ECDFS
62776.333333673596	ECDFS
62782.361111452075	ECDFS
62789.08333367508	ECDFS
62791.125000341985	ECDFS
62798.23611145392	ECDFS
62805.20833367696	ECDFS
62812.33333367779	ECDFS
62812.33333367779	ECDFS
62818.055555900675	ECDFS
62824.20833367917	ECDFS
62829.18055590197	ECDFS
62835.16666701378	ECDFS
62840.291667014375	ECDFS
62841.30555590338	ECDFS
62848.05555590417	ECDFS
62855.08333368276	ECDFS
62861.09722257235	ECDFS
62868.22222257318	ECDFS
62868.22222257318	ECDFS
62872.08333368474	ECDFS
62879.06944479667	ECDFS
62884.06944479725	ECDFS
62890.05555590906	ECDFS
62895.13888924298	ECDFS
62902.069444799345	ECDFS
62909.05555591127	ECDFS
62916.04166702319	ECDFS
62923.0555559129	ECDFS
63067.416667040816	ECDFS
63073.416667041514	ECDFS
63079.41666704221	ECDFS
63086.40277815414	ECDFS
63089.375000376705	ECDFS
63095.402778155185	ECDFS
63101.40277815588	ECDFS
63107.3750003788	ECDFS
63114.361111490725	ECDFS
63118.222222602286	ECDFS
63124.37500038078	ECDFS
63131.361111492704	ECDFS
63137.37500038229	ECDFS
63144.11111149419	ECDFS
63145.15277816098	ECDFS
63152.30555593959	ECDFS
63159.27777816262	ECDFS
63166.34722260789	ECDFS
63171.25000038624	ECDFS
63179.0555559427	ECDFS
63184.22222260997	ECDFS
63190.19444483289	ECDFS
63195.30555594459	ECDFS
63195.31944483348	ECDFS
63202.05555594538	ECDFS
63209.111111501756	ECDFS
63216.08333372479	ECDFS
63223.25000039229	ECDFS
63230.09722261531	ECDFS
63233.08333372677	ECDFS
63239.06944483858	ECDFS
63244.06944483916	ECDFS
63250.16666706209	ECDFS
63250.16666706209	ECDFS
63256.069444840556	ECDFS
63263.05555595248	ECDFS
63268.05555595306	ECDFS
63273.055555953644	ECDFS
63278.08333373201	ECDFS
63285.04166706615	ECDFS
63292.027778178075	ECDFS
63423.41666708226	ECDFS
63428.41666708284	ECDFS
63433.416667083424	ECDFS
63433.416667083424	ECDFS
63440.40277819535	ECDFS
63444.37500041803	ECDFS
63451.41666708552	ECDFS
63457.40277819733	ECDFS
63463.402778198026	ECDFS
63463.402778198026	ECDFS
63470.38888930995	ECDFS
63473.250000421394	ECDFS
63479.36111153322	ECDFS
63485.3888893117	ECDFS
63491.375000423504	ECDFS
63493.37500042374	ECDFS
63500.180555980085	ECDFS
59857.34722222267	ElaisS1
59864.01388889011	ElaisS1
59871.15277777983	ElaisS1
59878.12500000287	ElaisS1
59885.27777778148	ElaisS1
59886.305555559375	ElaisS1
59894.041666671386	ElaisS1
59900.069444449866	ElaisS1
59906.055555561674	ElaisS1
59912.20833334017	ElaisS1
59917.069444451845	ElaisS1
59924.05555556377	ElaisS1
59930.05555556447	ElaisS1
59935.06944445394	ElaisS1
59941.06944445464	ElaisS1
59947.08333334423	ElaisS1
59954.06944445615	ElaisS1
60087.4166666939	ElaisS1
60092.41666669448	ElaisS1
60097.41666669506	ElaisS1
60102.416666695644	ElaisS1
60110.31944447434	ElaisS1
60116.416666697274	ElaisS1
60121.416666697856	ElaisS1
60126.41666669844	ElaisS1
60133.40277781036	ElaisS1
60136.25000003292	ElaisS1
60143.40277781153	ElaisS1
60149.388888923335	ElaisS1
60155.416666701814	ElaisS1
60162.37500003596	ElaisS1
60164.18055559172	ElaisS1
60171.31944448144	ElaisS1
60177.30555559325	ElaisS1
60184.4027778163	ElaisS1
60191.111111150414	ElaisS1
60197.25000004002	ElaisS1
60202.23611115171	ElaisS1
60208.22222226352	ElaisS1
60213.375000041895	ElaisS1
60219.02777782033	ElaisS1
60226.18055559894	ElaisS1
60233.152777821975	ElaisS1
60240.305555600586	ElaisS1
60241.31944448959	ElaisS1
60248.02777782371	ElaisS1
60261.08333338078	ElaisS1
60267.236111159276	ElaisS1
60271.069444493056	ElaisS1
60278.05555560498	ElaisS1
60284.05555560568	ElaisS1
60290.05555560638	ElaisS1
60296.09722227375	ElaisS1
60301.08333338544	ElaisS1
60308.06944449736	ElaisS1
60313.069444497945	ElaisS1
60318.06944449853	ElaisS1
60323.06944449911	ElaisS1
60323.06944449911	ElaisS1
